Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
Samsung Galaxy S8+,Samsung,Galaxy S8+,3500,6.2,Yes,1440,2960,8,4000,64,12,8,Android,Yes,Yes,Yes,1,Yes,Yes,30000,$850 ,17-Apr,1076.1,6.981098673
Samsung Galaxy S8,Samsung,Galaxy S8,3000,5.8,Yes,1440,2960,8,4000,64,12,8,Android,Yes,Yes,Yes,1,Yes,Yes,26994,$750 ,17-Apr,949.5,6.85593553
LG G6,LG,G6,3300,5.7,Yes,1440,2880,1,3000,32,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,23990,$650 ,17-Apr,822.9,6.712834687
Honor 8 Pro,Honor,8 Pro,4000,5.7,Yes,1440,2560,8,6000,128,12,8,Android,Yes,Yes,Yes,2,No,Yes,17586,$480 ,17-Apr,607.68,6.409648428
Vivo V5s,Vivo,V5s,3000,5.5,Yes,720,1280,8,4000,64,13,20,Android,Yes,Yes,Yes,2,Yes,Yes,12990,$300 ,17-Apr,379.8,5.939644798
Micromax Evok Power,Micromax,Evok Power,4000,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,No,2,No,Yes,5499,$110 ,17-Apr,139.26,4.93634269
Sony Xperia XZs,Sony,Xperia XZs,2900,5.2,Yes,1080,1920,4,4000,32,19,13,Android,Yes,Yes,Yes,2,Yes,Yes,29990,$700 ,17-Apr,886.2,6.786942659
Tecno i7,Tecno,i7,4000,5.5,Yes,1080,1920,8,4000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,8966,$200 ,17-Apr,253.2,5.53417969
iVoomi Me 1+,iVoomi,Me 1+,3000,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,3499,$95 ,17-Apr,120.27,4.789739215
iVoomi Me 1,iVoomi,Me 1,3000,5,Yes,720,1280,4,1000,8,5,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999,$90 ,17-Apr,113.94,4.735671994
Honor Bee 2,Honor,Bee 2,2100,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,5499,$80 ,17-Apr,101.28,4.617888958
Tecno i5 Pro,Tecno,i5 Pro,4000,5.5,Yes,720,1280,4,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6789,$150 ,17-Apr,189.9,5.246497618
Tecno i3 Pro,Tecno,i3 Pro,3050,5,Yes,720,1280,4,3000,16,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,9993,$130 ,17-Apr,164.58,5.103396774
Tecno i5,Tecno,i5,4000,5.5,Yes,720,1280,4,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6629,$140 ,17-Apr,177.24,5.177504746
Tecno i3,Tecno,i3,3050,5,Yes,720,1280,4,2000,16,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,7142,$120 ,17-Apr,151.92,5.023354067
Videocon Delite 11+,Videocon,Delite 11+,3000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,5599,$85 ,17-Apr,107.61,4.67851358
Micromax Evok Note,Micromax,Evok Note,4000,5.5,Yes,1080,1920,8,3000,32,13,5,Android,Yes,Yes,No,1,Yes,Yes,4960,$160 ,17-Apr,202.56,5.311036139
Zopo Color X 5.5,Zopo,Color X 5.5,2500,5.5,Yes,720,1280,4,3000,16,8,5,Android,Yes,Yes,Yes,2,No,No,3980,$140 ,17-Apr,177.24,5.177504746
Lephone W7,Lephone,W7,2000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,No,Yes,4105,$70 ,17-Apr,88.62,4.484357566
Ziox QUIQ Flash 4G,Ziox,QUIQ Flash 4G,2450,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,3699,$80 ,17-Apr,101.28,4.617888958
Intex ELYT-e1,Intex,ELYT-e1,2200,5,Yes,720,1280,4,2000,16,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,6100,$100 ,17-Apr,126.6,4.84103251
Sansui Horizon 1,Sansui,Horizon 1,2000,4.5,Yes,480,854,4,1000,8,5,3.2,Android,Yes,Yes,Yes,2,Yes,Yes,3900,$60 ,17-Apr,75.96,4.330206886
Micromax Bharat 2,Micromax,Bharat 2,1300,4,Yes,480,800,4,512,4,2,0.3,Android,Yes,Yes,Yes,2,No,Yes,2359,$50 ,17-Apr,63.3,4.147885329
Swipe Konnect Neo 4G,Swipe,Konnect Neo 4G,2000,4,Yes,480,800,4,512,4,5,1.3,Android,Yes,Yes,Yes,2,Yes,Yes,1999,$55 ,17-Apr,69.63,4.243195509
Itel Wish A41,Itel,Wish A41,2400,5,No,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,4880,$70 ,17-Apr,88.62,4.484357566
Panasonic Eluga Ray X,Panasonic,Eluga Ray X,4000,5.5,Yes,720,1280,4,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5930,$140 ,17-Apr,177.24,5.177504746
Panasonic Eluga Ray Max,Panasonic,Eluga Ray Max,3000,5.2,Yes,1080,1920,8,4000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,11499,$160 ,17-Apr,202.56,5.311036139
Intex Aqua 4G Mini,Intex,Aqua 4G Mini,1450,4,Yes,480,800,4,512,4,5,1.3,Android,Yes,Yes,No,2,No,Yes,3935,$60 ,17-Apr,75.96,4.330206886
Motorola Moto Z2 Force,Motorola,Moto Z2 Force,2730,5.5,Yes,1440,2560,8,6000,64,12,5,Android,Yes,Yes,Yes,1,Yes,Yes,20999,$720 ,17-Aug,911.52,6.815113536
Nokia 8,Nokia,8,3090,5.3,Yes,1440,2560,8,4000,64,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,14994,$700 ,17-Aug,886.2,6.786942659
Sony Xperia XZ1,Sony,Xperia XZ1,2700,5.2,Yes,1080,1920,8,4000,32,19,13,Android,Yes,Yes,Yes,2,Yes,Yes,34990,$700 ,17-Aug,886.2,6.786942659
Lenovo K8 Note,Lenovo,K8 Note,4000,5.5,Yes,1080,1920,10,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,7299,$200 ,17-Aug,253.2,5.53417969
Moto G5S,Motorola,Moto G5S,3000,5.2,Yes,1080,1920,8,3000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999,$220 ,17-Aug,278.52,5.62948987
Motorola Moto X4,Motorola,Moto X4,3000,5.2,Yes,1080,1920,8,3000,32,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,12500,$400 ,17-Aug,506.4,6.227326871
Moto G5S Plus,Motorola,Moto G5S Plus,3000,5.5,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8500,$280 ,17-Aug,354.48,5.870651927
Jio Phone,Jio,Phone,2000,2.4,No,240,320,2,512,4,2,0.3,Cyanogen,Yes,Yes,Yes,1,No,Yes,1249,$20 ,17-Aug,25.32,3.231594597
Coolpad Cool Play 6,Coolpad,Cool Play 6,4060,5.5,Yes,1080,1920,8,6000,64,13,8,Android,Yes,Yes,No,2,No,Yes,8999,$235 ,17-Aug,297.51,5.695447838
LG Q6,LG,Q6,3000,5.5,Yes,1080,2160,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8948,$300 ,17-Aug,379.8,5.939644798
Micromax Canvas Infinity,Micromax,Canvas Infinity,2900,5.7,Yes,720,1440,4,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,4991,$160 ,17-Aug,202.56,5.311036139
Lyf C451,Lyf,C451,2800,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,3499,$80 ,17-Aug,101.28,4.617888958
Panasonic Eluga A3 Pro,Panasonic,Eluga A3 Pro,4000,5.2,Yes,720,1280,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,9000,$180 ,17-Aug,227.88,5.428819175
Videocon Metal Pro 2,Videocon,Metal Pro 2,2000,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,3999,$85 ,17-Aug,107.61,4.67851358
Sony Xperia XA1 Plus,Sony,Xperia XA1 Plus,3430,5.5,Yes,1080,1920,8,3000,32,23,8,Android,Yes,Yes,Yes,2,Yes,Yes,15990,$380 ,17-Aug,481.08,6.176033576
Intex Aqua Note 5.5,Intex,Aqua Note 5.5,2800,5.5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4390,$110 ,17-Aug,139.26,4.93634269
Jivi Grand 3000,Jivi,Grand 3000,3000,5.5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,No,1,Yes,Yes,6449,$90 ,17-Aug,113.94,4.735671994
Jivi Prime 390,Jivi,Prime 390,2400,5,Yes,480,854,4,1000,16,8,5,Android,Yes,Yes,No,1,Yes,Yes,5199,$100 ,17-Aug,126.6,4.84103251
Jivi Prime 300,Jivi,Prime 300,2500,5,Yes,480,854,4,1000,8,8,5,Android,Yes,Yes,No,1,Yes,Yes,3599,$100 ,17-Aug,126.6,4.84103251
Jivi Energy E12,Jivi,Energy E12,2300,4,Yes,480,800,4,1000,8,5,2,Android,Yes,Yes,No,1,Yes,Yes,2499,$50 ,17-Aug,63.3,4.147885329
Jivi Energy E3,Jivi,Energy E3,1800,4,Yes,480,800,4,512,4,5,2,Android,Yes,Yes,No,1,Yes,Yes,2599,$45 ,17-Aug,56.97,4.042524813
Intex Aqua Style III,Intex,Aqua Style III,2500,5,Yes,480,854,4,1000,16,5,5,Android,Yes,Yes,Yes,1,No,No,4999,$75 ,17-Aug,94.95,4.553350437
Vivo Y69,Vivo,Y69,3000,5.5,Yes,720,1280,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,9500,$230 ,17-Aug,291.18,5.673941633
iVoomi Me 2,iVoomi,Me 2,2000,4.5,Yes,480,854,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,2900,$70 ,17-Aug,88.62,4.484357566
Swipe Neo Power,Swipe,Neo Power,2500,4,Yes,480,854,4,512,4,5,2,Android,Yes,No,Yes,2,Yes,Yes,2499,$50 ,17-Aug,63.3,4.147885329
Meizu M6 Note,Meizu,M6 Note,4000,5.5,Yes,1080,1920,8,3000,16,12,16,Android,Yes,No,Yes,2,Yes,Yes,14000,$165 ,17-Aug,208.89,5.341807798
Nuu Mobile Q500,Nuu Mobile,Q500,2000,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,7499,$100 ,17-Aug,126.6,4.84103251
Nuu Mobile Q626,Nuu Mobile,Q626,2000,5,Yes,720,1280,4,2000,32,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,3999,$130 ,17-Aug,164.58,5.103396774
Alcatel U5 HD,Alcatel,U5 HD,2200,5,Yes,720,1280,4,2000,16,13,8,Android,Yes,Yes,Yes,2,No,No,6499,$130 ,17-Aug,164.58,5.103396774
M-tech TEZ4G,M-tech,TEZ4G,2400,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,3950,$60 ,17-Aug,75.96,4.330206886
Gionee X1,Gionee,X1,3000,5,Yes,720,1280,4,2000,16,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,4978,$140 ,17-Aug,177.24,5.177504746
Comio C1,Comio,C1,2700,5,Yes,720,1280,4,1000,32,8,5,Android,Yes,Yes,Yes,2,No,Yes,4995,$100 ,17-Aug,126.6,4.84103251
Comio S1,Comio,S1,2700,5.2,Yes,720,1280,4,2000,32,13,8,Android,Yes,Yes,Yes,2,No,Yes,5499,$130 ,17-Aug,164.58,5.103396774
Comio P1,Comio,P1,5000,5.2,Yes,720,1280,4,3000,32,13,8,Android,Yes,Yes,Yes,2,No,Yes,8666,$150 ,17-Aug,189.9,5.246497618
Micromax Evok Dual Note,Micromax,Evok Dual Note,3000,5.5,Yes,1080,1920,8,3000,32,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,4499,$160 ,17-Aug,202.56,5.311036139
Asus ZenFone 4,Asus,ZenFone 4,3300,5.5,Yes,1080,1920,1,4000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,6499,$400 ,17-Aug,506.4,6.227326871
Swipe Elite 4G,Swipe,Elite 4G,2500,5,Yes,480,854,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,3499,$60 ,17-Aug,75.96,4.330206886
Panasonic Eluga I2 Activ,Panasonic,Eluga I2 Activ,2200,5,Yes,720,1280,4,1000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4990,$110 ,17-Aug,139.26,4.93634269
Asus ZenFone 4 Selfie DC (ZD553KL),Asus,ZenFone 4 Selfie DC (ZD553KL),3000,5.5,Yes,720,1280,8,4000,64,16,20,Android,Yes,Yes,Yes,2,Yes,Yes,6998,$280 ,17-Aug,354.48,5.870651927
Itel PowerPro P41,Itel,PowerPro P41,5000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,1,No,No,3880,$80 ,17-Aug,101.28,4.617888958
Panasonic Eluga A3,Panasonic,Eluga A3,4000,5.2,Yes,720,1280,8,3000,16,13,8,Android,Yes,Yes,Yes,2,No,Yes,5935,$130 ,17-Aug,164.58,5.103396774
Gionee A1 Lite,Gionee,A1 Lite,4000,5.3,Yes,720,1280,8,3000,32,13,20,Android,Yes,Yes,Yes,2,Yes,Yes,4999,$180 ,17-Aug,227.88,5.428819175
Karbonn A41 Power,Karbonn,A41 Power,2300,4,Yes,480,800,4,1000,8,2,0.3,Android,Yes,Yes,No,2,No,No,2754,$60 ,17-Aug,75.96,4.330206886
Swipe Konnect Power,Swipe,Konnect Power,3000,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,3599,$70 ,17-Aug,88.62,4.484357566
Kult Beyond,Kult,Beyond,3000,5.2,Yes,720,1280,4,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,3999,$100 ,17-Aug,126.6,4.84103251
Coolpad Note 5 Lite C,Coolpad,Note 5 Lite C,2500,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,1,Yes,Yes,4610,$115 ,17-Aug,145.59,4.980794452
Karbonn Aura Note Play,Karbonn,Aura Note Play,3300,6,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,5899,$110 ,17-Aug,139.26,4.93634269
Infinix Hot 4 Pro,Infinix,Hot 4 Pro,4000,5.5,Yes,720,1280,4,3000,16,13,5,Android,Yes,Yes,Yes,2,No,Yes,7499,$100 ,17-Aug,126.6,4.84103251
Infinix Note 4,Infinix,Note 4,4300,5.7,Yes,1080,1920,4,3000,32,13,8,Android,Yes,Yes,Yes,2,No,Yes,8999,$140 ,17-Aug,177.24,5.177504746
Micromax Selfie 2,Micromax,Selfie 2,3000,5.2,Yes,720,1280,4,3000,32,13,8,Android,Yes,Yes,No,2,No,Yes,4895,$140 ,17-Aug,177.24,5.177504746
Redmi 5,Xiaomi,Redmi 5,3300,5.7,Yes,720,1440,8,2000,16,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,6499,$135 ,17-Dec,170.91,5.141137102
10.or D,10.or,D,3500,5.2,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999,$100 ,17-Dec,126.6,4.84103251
InFocus Vision 3,InFocus,Vision 3,4000,5.7,Yes,720,1440,4,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6850,$120 ,17-Dec,151.92,5.023354067
Gionee S11 Lite,Gionee,S11 Lite,3030,5.7,Yes,720,1440,8,4000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,6319,$200 ,17-Dec,253.2,5.53417969
Honor 7X,Honor,7X,3340,5.93,Yes,1080,2160,8,4000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,12722,$200 ,17-Dec,253.2,5.53417969
Intex Aqua Lions N1,Intex,Aqua Lions N1,1400,4,Yes,480,800,4,1000,8,2,0.3,Android,Yes,Yes,Yes,2,Yes,Yes,2590,$80 ,17-Dec,101.28,4.617888958
Gionee S10 Lite,Gionee,S10 Lite,3100,5.2,Yes,720,1280,4,4000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,6290,$200 ,17-Dec,253.2,5.53417969
Ziox Duopix R1,Ziox,Duopix R1,2600,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,3199,$100 ,17-Dec,126.6,4.84103251
Celkon Star 4G+,Celkon,Star 4G+,1800,4,Yes,480,800,4,512,4,3.2,2,Android,Yes,Yes,Yes,2,Yes,Yes,2999,$70 ,17-Dec,88.62,4.484357566
Karbonn K9 Music 4G,Karbonn,K9 Music 4G,2200,5,Yes,480,854,4,1000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4190,$70 ,17-Dec,88.62,4.484357566
Itel A20,Itel,A20,1700,4,Yes,480,800,4,1000,8,2,0.3,Android,Yes,Yes,Yes,2,Yes,Yes,3749,$50 ,17-Dec,63.3,4.147885329
Jivi Revolution TnT3,Jivi,Revolution TnT3,2300,4,Yes,480,800,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,2550,$60 ,17-Dec,75.96,4.330206886
Panasonic Eluga I9,Panasonic,Eluga I9,2500,5,Yes,720,1280,4,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5490,$120 ,17-Dec,151.92,5.023354067
Intex Elyt E6,Intex,Elyt E6,4000,5,Yes,720,1280,4,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6729,$115 ,17-Dec,145.59,4.980794452
Micromax Canvas Infinity Pro,Micromax,Canvas Infinity Pro,3000,5.7,Yes,720,1440,8,4000,64,20,16,Android,Yes,Yes,Yes,2,Yes,Yes,6999,$215 ,17-Dec,272.19,5.606500352
Kult Ambition,Kult,Ambition,2600,5,Yes,720,1280,4,3000,32,13,5,Android,Yes,Yes,No,2,Yes,Yes,3999,$110 ,17-Dec,139.26,4.93634269
Micromax Bharat 5,Micromax,Bharat 5,5000,5.2,Yes,720,1280,4,1000,16,5,5,Android,Yes,Yes,Yes,2,Yes,Yes,4790,$90 ,17-Dec,113.94,4.735671994
Asus ZenFone 3S Max,Asus,ZenFone 3S Max,5000,5.2,Yes,720,1280,8,3000,32,13,8,Android,Yes,Yes,No,2,Yes,Yes,14999,$220 ,17-Feb,278.52,5.62948987
HTC U Play,HTC,U Play,2500,5.2,Yes,1080,1920,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,15500,$440 ,17-Feb,557.04,6.322637051
